d0000001.s001.h001 object%1:03:00::
d0000188.s001.h001 reclamation%1:04:00::
d0000189.s001.h001 salvation%1:04:02::
d0000190.s001.h001 performance%1:04:00::
d0000191.s001.h001 performance%1:04:00::
d0000192.s001.h001 mechanism%1:04:00::
d0000193.s001.h001 mechanism%1:04:00::
d0000194.s001.h001 mechanics%1:04:00::
d0000195.s001.h001 service%1:04:06::
d0000196.s001.h001 dramatic_production%1:04:00::
d0000197.s001.h001 rendition%1:04:01::
d0000198.s001.h001 spin%1:04:03::
d0000199.s001.h001 bowing%1:04:00::
d0000200.s001.h001 stopping%1:04:00::
d0000201.s001.h001 automation%1:04:00::
d0000202.s001.h001 drive%1:04:04::
d0000203.s001.h001 firewall%1:04:00::
d0000204.s001.h001 impulse%1:04:01::
d0000205.s001.h001 throw%1:04:00::
d0000206.s001.h001 heave%1:04:00::
d0000207.s001.h001 heaving%1:04:00::
d0000208.s001.h001 pass%1:04:00::
d0000209.s001.h001 pitch%1:04:00::
d0000210.s001.h001 shy%1:04:00::
d0000211.s001.h001 ball%1:04:00::
d0000212.s001.h001 fastball%1:04:00::
d0000213.s001.h001 smoke%1:04:02::
d0000214.s001.h001 strike%1:04:05::
d0000216.s001.h001 push%1:04:00::
d0000217.s001.h001 pushing%1:04:00::
d0000218.s001.h001 depression%1:04:01::
d0000219.s001.h001 click%1:04:00::
d0000220.s001.h001 press%1:04:00::
d0000221.s001.h001 pressure%1:04:00::
d0000222.s001.h001 pressing%1:04:00::
d0000223.s001.h001 impression%1:04:01::
d0000224.s001.h001 shove%1:04:00::
d0000225.s001.h001 bundling%1:04:01::
d0000226.s001.h001 elbowing%1:04:00::
d0000227.s001.h001 pull%1:04:00::
d0000228.s001.h001 pulling%1:04:00::
d0000229.s001.h001 drag%1:04:00::
d0000230.s001.h001 haul%1:04:00::
d0000231.s001.h001 tow%1:04:00::
d0000232.s001.h001 traction%1:04:00::
d0000233.s001.h001 lift%1:04:00::
d0000234.s001.h001 raise%1:04:00::
d0000235.s001.h001 belching%1:04:01::
d0000236.s001.h001 jump%1:04:00::
d0000237.s001.h001 jumping%1:04:01::
d0000238.s001.h001 header%1:04:01::
d0000239.s001.h001 jumping_up_and_down%1:04:00::
d0000240.s001.h001 snap%1:04:01::
d0000241.s001.h001 forwarding%1:04:01::
d0000242.s001.h001 forwarding%1:04:01::
d0000243.s001.h001 mailing%1:04:00::
d0000244.s001.h001 shooting%1:04:00::
d0000245.s001.h001 shoot%1:04:00::
d0000246.s001.h001 gun%1:04:00::
d0000247.s001.h001 gun%1:04:00::
d0000248.s001.h001 gunfire%1:04:00::
d0000250.s001.h001 contact%1:04:00::
d0000251.s001.h001 rub%1:04:00::
d0000252.s001.h001 hitting%1:04:00::
d0000253.s001.h001 hit%1:04:00::
d0000254.s001.h001 contusion%1:04:00::
d0000255.s001.h001 crash%1:04:00::
d0000256.s001.h001 smash%1:04:00::
d0000257.s001.h001 golfing%1:04:00::
d0000258.s001.h001 base_on_balls%1:04:00::
d0000259.s001.h001 best%1:04:00::
d0000260.s001.h001 worst%1:04:00::
d0000261.s001.h001 out%1:04:00::
d0000262.s001.h001 force%1:04:00::
d0000263.s001.h001 putout%1:04:00::
d0000264.s001.h001 liner%1:04:00::
d0000265.s001.h001 double%1:04:00::
d0000266.s001.h001 clip%1:04:01::
d0000267.s001.h001 whack%1:04:00::
d0000268.s001.h001 whip%1:04:00::
d0000269.s001.h001 clout%1:04:00::
d0000270.s001.h001 box%1:04:00::
d0000271.s001.h001 dig%1:04:02::
d0000272.s001.h001 kick%1:04:00::
d0000273.s001.h001 kicking%1:04:00::
d0000274.s001.h001 punt%1:04:00::
d0000275.s001.h001 punting%1:04:00::
d0000276.s001.h001 kiss%1:04:01::
d0000277.s001.h001 laying_on%1:04:00::
d0000278.s001.h001 catch%1:04:00::
d0000279.s001.h001 grab%1:04:00::
d0000280.s001.h001 snatch%1:04:00::
d0000281.s001.h001 snap%1:04:00::
d0000282.s001.h001 reception%1:04:03::
d0000283.s001.h001 interlocking%1:04:00::
d0000284.s001.h001 audit%1:04:00::
d0000285.s001.h001 audit%1:04:00::
d0000286.s001.h001 audit%1:04:00::
d0000287.s001.h001 check%1:04:05::
d0000288.s001.h001 check-out_procedure%1:04:00::
d0000289.s001.h001 spot_check%1:04:00::
d0000290.s001.h001 comparison%1:04:00::
d0000291.s001.h001 comparison%1:04:00::
d0000292.s001.h001 fine-tooth_comb%1:04:00::
d0000293.s001.h001 once-over%1:04:00::
d0000294.s001.h001 caress%1:04:00::
d0000295.s001.h001 caress%1:04:00::
d0000296.s001.h001 caress%1:04:00::
d0000297.s001.h001 joining%1:04:00::
d0000298.s001.h001 connection%1:04:00::
d0000299.s001.h001 hit%1:04:05::
d0000300.s001.h001 merging%1:04:02::
d0000301.s001.h001 meeting%1:04:02::
d0000302.s001.h001 tightening%1:04:00::
d0000303.s001.h001 untying%1:04:00::
d0000304.s001.h001 lap%1:04:00::
d0000305.s001.h001 tracing%1:04:01::
d0000306.s001.h001 determination%1:04:00::
d0000307.s001.h001 documentation%1:04:00::
d0000308.s001.h001 support%1:04:02::
d0000309.s001.h001 fix%1:04:02::
d0000310.s001.h001 compulsion%1:04:00::
d0000311.s001.h001 coercion%1:04:00::
d0000312.s001.h001 cross-pollination%1:04:00::
d0000313.s001.h001 exposure%1:04:06::
d0000314.s001.h001 overexposure%1:04:01::
d0000315.s001.h001 impingement%1:04:00::
d0000316.s001.h001 manipulation%1:04:00::
d0000317.s001.h001 mind_game%1:04:00::
d0000318.s001.h001 mind_game%1:04:00::
d0000319.s001.h001 inducement%1:04:00::
d0000320.s001.h001 corruption%1:04:01::
d0000321.s001.h001 enticement%1:04:00::
d0000322.s001.h001 insinuation%1:04:00::
d0000323.s001.h001 score%1:04:01::
d0000324.s001.h001 choice%1:04:00::
d0000325.s001.h001 pick%1:04:00::
d0000326.s001.h001 lucky_dip%1:04:01::
d0000327.s001.h001 decision%1:04:00::
d0000328.s001.h001 conclusion%1:04:01::
d0000329.s001.h001 volition%1:04:00::
d0000330.s001.h001 intention%1:04:00::
d0000331.s001.h001 about-face%1:04:01::
d0000332.s001.h001 appointment%1:04:00::
d0000333.s001.h001 nomination%1:04:00::
d0000334.s001.h001 assignment%1:04:02::
d0000335.s001.h001 call%1:04:00::
d0000336.s001.h001 ordination%1:04:00::
d0000337.s001.h001 recognition%1:04:00::
d0000338.s001.h001 move%1:04:00::
d0000339.s001.h001 move%1:04:00::
d0000340.s001.h001 exchange%1:04:04::
d0000341.s001.h001 exchange%1:04:05::
d0000342.s001.h001 move%1:04:01::
d0000343.s001.h001 flit%1:04:01::
d0000344.s001.h001 bank%1:04:00::
d0000345.s001.h001 device%1:04:00::
d0000346.s001.h001 gimmick%1:04:00::
d0000347.s001.h001 gimmick%1:04:00::
d0000348.s001.h001 trick%1:04:05::
d0000349.s001.h001 fast_one%1:04:00::
d0000350.s001.h001 shtik%1:04:02::
d0000351.s001.h001 footwork%1:04:01::
d0000352.s001.h001 means%1:04:00::
d0000353.s001.h001 agency%1:04:00::
d0000354.s001.h001 way%1:04:01::
d0000355.s001.h001 escape%1:04:04::
d0000356.s001.h001 escape%1:04:04::
d0000357.s001.h001 escape%1:04:04::
d0000358.s001.h001 fast_track%1:04:00::
d0000359.s001.h001 fast_track%1:04:00::
d0000360.s001.h001 fast_track%1:04:00::
d0000361.s001.h001 instrument%1:04:00::
d0000362.s001.h001 tool%1:04:00::
d0000363.s001.h001 road%1:04:00::
d0000364.s001.h001 royal_road%1:04:00::
d0000365.s001.h001 stepping_stone%1:04:00::
d0000366.s001.h001 measure%1:04:01::
d0000367.s001.h001 step%1:04:02::
d0000368.s001.h001 leveraged_buyout%1:04:00::
d0000369.s001.h001 safe_harbor%1:04:00::
d0000370.s001.h001 backstop%1:04:00::
d0000371.s001.h001 double-blind_procedure%1:04:00::
d0000372.s001.h001 crutch%1:04:00::
d0000373.s001.h001 pis_aller%1:04:00::
d0000374.s001.h001 desperate_measure%1:04:00::
d0000375.s001.h001 salvation%1:04:01::
d0000376.s001.h001 salvation%1:04:01::
d0000377.s001.h001 tooth%1:04:00::
d0000378.s001.h001 voice%1:04:00::
d0000379.s001.h001 voice%1:04:00::
d0000380.s001.h001 voice%1:04:00::
d0000381.s001.h001 wings%1:04:00::
d0000382.s001.h001 resolution%1:04:00::
d0000383.s001.h001 adoption%1:04:00::
d0000384.s001.h001 acceptance%1:04:00::
d0000385.s001.h001 embrace%1:04:01::
d0000386.s001.h001 bosom%1:04:00::
d0000387.s001.h001 election%1:04:00::
d0000388.s001.h001 reelection%1:04:00::
d0000389.s001.h001 election%1:04:01::
d0000390.s001.h001 vote%1:04:01::
d0000391.s001.h001 closed_primary%1:04:00::
d0000392.s001.h001 vote%1:04:00::
d0000393.s001.h001 vote%1:04:00::
d0000394.s001.h001 reconciliation%1:04:00::
d0000395.s001.h001 score%1:04:00::
d0000397.s001.h001 goal%1:04:00::
d0000398.s001.h001 own_goal%1:04:00::
d0000399.s001.h001 strike%1:04:01::
d0000400.s001.h001 break%1:04:06::
d0000401.s001.h001 run%1:04:01::
d0000402.s001.h001 tally%1:04:01::
d0000403.s001.h001 rbi%1:04:00::
d0000404.s001.h001 solution%1:04:00::
d0000405.s001.h001 change%1:04:00::
d0000406.s001.h001 change%1:04:00::
d0000407.s001.h001 economy%1:04:00::
d0000408.s001.h001 saving%1:04:00::
d0000409.s001.h001 domestication%1:04:00::
d0000410.s001.h001 decimalization%1:04:00::
d0000411.s001.h001 variation%1:04:00::
d0000412.s001.h001 variation%1:04:01::
d0000413.s001.h001 turning%1:04:01::
d0000414.s001.h001 diversification%1:04:00::
d0000415.s001.h001 diversification%1:04:00::
d0000416.s001.h001 flux%1:04:00::
d0000417.s001.h001 flux%1:04:00::
d0000418.s001.h001 switch%1:04:00::
d0000419.s001.h001 replacing%1:04:00::
d0000420.s001.h001 preferment%1:04:00::
d0000421.s001.h001 misdirection%1:04:01::
d0000422.s001.h001 qualification%1:04:00::
d0000423.s001.h001 reorganization%1:04:01::
d0000424.s001.h001 reorganization%1:04:01::
d0000425.s001.h001 transfer%1:04:03::
d0000426.s001.h001 prohibition%1:04:00::
d0000427.s001.h001 inhibition%1:04:01::
d0000428.s001.h001 forbiddance%1:04:00::
d0000429.s001.h001 resistance%1:04:02::
d0000430.s001.h001 opposition%1:04:01::
d0000431.s001.h001 reaction%1:04:01::
d0000432.s001.h001 backlash%1:04:00::
d0000433.s001.h001 rejection%1:04:00::
d0000434.s001.h001 averting%1:04:01::
d0000435.s001.h001 escape%1:04:03::
d0000436.s001.h001 turndown%1:04:00::
d0000437.s001.h001 ejection%1:04:00::
d0000438.s001.h001 expulsion%1:04:01::
d0000439.s001.h001 exile%1:04:00::
d0000440.s001.h001 deportation%1:04:00::
d0000441.s001.h001 expatriation%1:04:00::
d0000442.s001.h001 transportation%1:04:02::
d0000444.s001.h001 termination%1:04:00::
d0000445.s001.h001 finish%1:04:00::
d0000446.s001.h001 finishing%1:04:00::
d0000447.s001.h001 follow-through%1:04:00::
d0000448.s001.h001 follow-through%1:04:01::
d0000449.s001.h001 follow-through%1:04:01::
d0000450.s001.h001 hibernation%1:04:00::
d0000451.s001.h001 handover%1:04:00::
d0000452.s001.h001 immunity%1:04:00::
d0000453.s001.h001 fix%1:04:01::
d0000454.s001.h001 sovereign_immunity%1:04:00::
d0000455.s001.h001 splitsville%1:04:00::
d0000456.s001.h001 purge%1:04:02::
d0000457.s001.h001 kill%1:04:01::
d0000458.s001.h001 death%1:04:00::
d0000459.s001.h001 bloodshed%1:04:01::
d0000460.s001.h001 suicide%1:04:00::
d0000461.s001.h001 self-destruction%1:04:01::
d0000462.s001.h001 bloodbath%1:04:00::
d0000463.s001.h001 bloodletting%1:04:01::
d0000464.s001.h001 bloodshed%1:04:00::
d0000465.s001.h001 battue%1:04:01::
d0000466.s001.h001 shooting%1:04:01::
d0000467.s001.h001 choking%1:04:00::
d0000468.s001.h001 squeeze%1:04:03::
d0000469.s001.h001 heave%1:04:03::
d0000470.s001.h001 strangulation%1:04:02::
d0000471.s001.h001 abolition%1:04:00::
d0000472.s001.h001 cold_turkey%1:04:00::
d0000473.s001.h001 cold_turkey%1:04:00::
d0000474.s001.h001 closure%1:04:00::
d0000475.s001.h001 extinction%1:04:01::
d0000476.s001.h001 derogation%1:04:00::
d0000477.s001.h001 recission%1:04:00::
d0000478.s001.h001 vitiation%1:04:00::
d0000479.s001.h001 neutralization%1:04:01::
d0000480.s001.h001 reversal%1:04:00::
d0000481.s001.h001 beginning%1:04:00::
d0000482.s001.h001 springboard%1:04:00::
d0000483.s001.h001 jumping-off_point%1:04:00::
d0000484.s001.h001 point_of_departure%1:04:00::
d0000485.s001.h001 accession%1:04:03::
d0000486.s001.h001 constitution%1:04:00::
d0000487.s001.h001 establishment%1:04:00::
d0000488.s001.h001 organization%1:04:02::
d0000489.s001.h001 re-establishment%1:04:00::
d0000490.s001.h001 debut%1:04:00::
d0000491.s001.h001 induction%1:04:00::
d0000492.s001.h001 icebreaker%1:04:00::
d0000493.s001.h001 inauguration%1:04:01::
d0000494.s001.h001 startup%1:04:00::
d0000495.s001.h001 initiation%1:04:01::
d0000496.s001.h001 foundation%1:04:00::
d0000497.s001.h001 authorship%1:04:01::
d0000498.s001.h001 installation%1:04:00::
d0000499.s001.h001 start%1:04:02::
d0000500.s001.h001 starting%1:04:00::
d0000501.s001.h001 startup%1:04:01::
d0000502.s001.h001 unionization%1:04:00::
d0000503.s001.h001 arousal%1:04:00::
d0000504.s001.h001 ushering_in%1:04:00::
d0000505.s001.h001 inauguration%1:04:00::
d0000506.s001.h001 first_base%1:04:00::
d0000507.s001.h001 cooking%1:04:00::
d0000508.s001.h001 cookery%1:04:00::
d0000509.s001.h001 preparation%1:04:03::
d0000510.s001.h001 toasting%1:04:00::
d0000511.s001.h001 roasting%1:04:00::
d0000512.s001.h001 infusion%1:04:01::
d0000513.s001.h001 improvement%1:04:00::
d0000514.s001.h001 advancement%1:04:02::
d0000515.s001.h001 progress%1:04:01::
d0000516.s001.h001 forwarding%1:04:02::
d0000517.s001.h001 stride%1:04:01::
d0000518.s001.h001 development%1:04:01::
d0000519.s001.h001 development%1:04:01::
d0000520.s001.h001 broadening%1:04:00::
d0000521.s001.h001 cleaning%1:04:00::
d0000522.s001.h001 mopping%1:04:00::
d0000523.s001.h001 purification%1:04:01::
d0000524.s001.h001 brush%1:04:02::
d0000525.s001.h001 comb%1:04:00::
d0000526.s001.h001 shower%1:04:00::
d0000527.s001.h001 bath%1:04:00::
d0000528.s001.h001 salve%1:04:00::
d0000529.s001.h001 optimization%1:04:00::
d0000530.s001.h001 optimization%1:04:00::
d0000531.s001.h001 optimization%1:04:00::
d0000532.s001.h001 reform%1:04:00::
d0000533.s001.h001 reform%1:04:02::
d0000534.s001.h001 trimming%1:04:00::
d0000535.s001.h001 modernization%1:04:00::
d0000536.s001.h001 renovation%1:04:00::
d0000538.s001.h001 facelift%1:04:01::
d0000539.s001.h001 facelift%1:04:01::
d0000540.s001.h001 moralization%1:04:00::
d0000541.s001.h001 downturn%1:04:00::
d0000542.s001.h001 care%1:04:00::
d0000543.s001.h001 overhaul%1:04:00::
d0000544.s001.h001 makeover%1:04:01::
d0000545.s001.h001 booking%1:04:01::
d0000546.s001.h001 gig%1:04:00::
d0000547.s001.h001 dehumanization%1:04:00::
d0000548.s001.h001 corruption%1:04:00::
d0000549.s001.h001 subversion%1:04:00::
d0000550.s001.h001 etiolation%1:04:00::
d0000551.s001.h001 tinting%1:04:00::
d0000552.s001.h001 drenching%1:04:00::
d0000553.s001.h001 watering%1:04:00::
d0000554.s001.h001 sprinkling%1:04:02::
d0000555.s001.h001 sparge%1:04:00::
d0000556.s001.h001 rumination%1:04:01::
d0000557.s001.h001 motion%1:04:01::
d0000558.s001.h001 movement%1:04:04::
d0000559.s001.h001 move%1:04:04::
d0000560.s001.h001 movement%1:04:02::
d0000561.s001.h001 approach%1:04:00::
d0000562.s001.h001 access%1:04:00::
d0000563.s001.h001 backdoor%1:04:00::
d0000564.s001.h001 closing%1:04:03::
d0000565.s001.h001 push%1:04:01::
d0000566.s001.h001 career%1:04:01::
d0000567.s001.h001 career%1:04:01::
d0000568.s001.h001 march%1:04:02::
d0000569.s001.h001 march%1:04:02::
d0000570.s001.h001 plain_sailing%1:04:00::
d0000571.s001.h001 walking%1:04:00::
d0000572.s001.h001 ambulation%1:04:00::
d0000573.s001.h001 foot%1:04:00::
d0000574.s001.h001 foot%1:04:00::
d0000575.s001.h001 walk%1:04:03::
d0000576.s001.h001 step%1:04:00::
d0000577.s001.h001 trip%1:04:02::
d0000578.s001.h001 hike%1:04:00::
d0000579.s001.h001 saunter%1:04:01::
d0000580.s001.h001 waddle%1:04:00::
d0000581.s001.h001 march%1:04:00::
d0000582.s001.h001 marching%1:04:00::
d0000583.s001.h001 lockstep%1:04:00::
d0000584.s001.h001 plod%1:04:00::
d0000585.s001.h001 turn%1:04:03::
d0000586.s001.h001 shambling%1:04:00::
d0000587.s001.h001 moonwalk%1:04:01::
d0000588.s001.h001 walk-through%1:04:01::
d0000589.s001.h001 run%1:04:00::
d0000590.s001.h001 run%1:04:00::
d0000591.s001.h001 break%1:04:02::
d0000592.s001.h001 crawl%1:04:01::
d0000593.s001.h001 creep%1:04:00::
d0000594.s001.h001 lap%1:04:01::
d0000595.s001.h001 travel%1:04:00::
d0000596.s001.h001 circumnavigation%1:04:00::
d0000597.s001.h001 procession%1:04:00::
d0000598.s001.h001 wandering%1:04:00::
d0000599.s001.h001 tourism%1:04:00::
d0000600.s001.h001 air_travel%1:04:00::
d0000601.s001.h001 air%1:04:00::
d0000602.s001.h001 flight%1:04:02::
d0000603.s001.h001 nonstop%1:04:00::
d0000604.s001.h001 redeye%1:04:00::
d0000605.s001.h001 flying%1:04:00::
d0000606.s001.h001 parachuting%1:04:00::
d0000607.s001.h001 maiden_flight%1:04:00::
d0000608.s001.h001 pass%1:04:06::
d0000609.s001.h001 stage%1:04:00::
d0000610.s001.h001 commute%1:04:00::
d0000611.s001.h001 drive%1:04:00::
d0000612.s001.h001 long_haul%1:04:00::
d0000613.s001.h001 trip%1:04:00::
d0000614.s001.h001 run%1:04:04::
d0000615.s001.h001 run%1:04:05::
d0000616.s001.h001 passage%1:04:00::
d0000617.s001.h001 lift%1:04:03::
d0000618.s001.h001 joyride%1:04:00::
d0000619.s001.h001 spin%1:04:01::
d0000620.s001.h001 tour%1:04:00::
d0000621.s001.h001 circuit%1:04:00::
d0000622.s001.h001 circuit%1:04:00::
d0000623.s001.h001 on_the_road%1:04:00::
d0000624.s001.h001 on_the_road%1:04:00::
d0000625.s001.h001 excursion%1:04:00::
d0000626.s001.h001 pleasure_trip%1:04:00::
d0000627.s001.h001 sashay%1:04:02::
d0000628.s001.h001 airing%1:04:01::
d0000629.s001.h001 way%1:04:02::
d0000630.s001.h001 maiden_voyage%1:04:00::
d0000631.s001.h001 ministry%1:04:00::
d0000632.s001.h001 bareboating%1:04:00::
d0000633.s001.h001 connection%1:04:01::
d0000634.s001.h001 delivery%1:04:04::
d0000635.s001.h001 airdrop%1:04:00::
d0000636.s001.h001 post%1:04:01::
d0000637.s001.h001 post%1:04:01::
d0000638.s001.h001 service%1:04:04::
d0000639.s001.h001 relay%1:04:00::
d0000640.s001.h001 backpacking%1:04:00::
d0000641.s001.h001 pursuit%1:04:00::
d0000642.s001.h001 fix%1:04:03::
d0000643.s001.h001 climb%1:04:00::
d0000644.s001.h001 clamber%1:04:00::
d0000645.s001.h001 drop%1:04:00::
d0000646.s001.h001 flop%1:04:00::
d0000647.s001.h001 return%1:04:00::
